ticket_id,created_at,resolved_at,priority,category,agent_id,resolution_hours,sla_limit_hours,sla_breach,reopened,csat_score
INC-00001,2025-02-27 08:06:00,2025-02-28 06:04:25.367607,P3-Medium,Network,AGT-00003,21.97,24,False,False,5
INC-00002,2025-02-25 09:38:00,2025-02-25 15:38:57.869805,P2-High,Software,AGT-00001,6.02,8,False,True,3
INC-00003,2025-05-31 10:55:00,2025-06-01 10:05:53.429897,P3-Medium,Software,AGT-00002,23.18,24,False,True,5
INC-00004,2025-03-28 07:24:00,2025-03-29 13:35:03.259865,P3-Medium,Hardware,AGT-00002,30.18,24,True,False,3
INC-00005,2025-05-18 08:59:00,2025-05-19 01:06:36.382808,P3-Medium,Access Management,AGT-00008,16.13,24,False,False,4
INC-00006,2025-05-28 09:04:00,2025-05-30 06:23:02.139100,P4-Low,Software,AGT-00012,45.32,72,False,True,3
INC-00007,2025-01-26 11:29:00,2025-01-27 18:07:01.329087,P3-Medium,Network,AGT-00003,30.63,24,True,False,2
INC-00008,2025-06-24 14:38:00,2025-06-25 14:46:22.120200,P3-Medium,Hardware,AGT-00003,24.14,24,True,False,2
INC-00009,2025-06-13 15:14:00,2025-06-13 20:05:24.622737,P2-High,Software,AGT-00003,4.86,8,False,False,5
INC-00010,2025-03-22 11:04:00,2025-03-24 23:55:04.323138,P4-Low,Hardware,AGT-00001,60.85,72,False,False,5
INC-00011,2025-04-12 19:41:00,2025-04-14 12:24:53.926118,P4-Low,Hardware,AGT-00008,40.73,72,False,False,3
INC-00012,2025-05-30 11:37:00,2025-05-30 16:29:11.805105,P2-High,Software,AGT-00003,4.87,8,False,False,3
INC-00013,2025-01-13 18:09:00,2025-01-16 00:59:21.283553,P4-Low,Software,AGT-00001,54.84,72,False,False,5
INC-00014,2025-04-30 13:35:00,2025-04-30 16:16:37.528954,P3-Medium,Network,AGT-00004,2.69,24,False,False,1
INC-00015,2025-03-10 16:21:00,2025-03-10 20:33:02.366424,P3-Medium,Software,AGT-00006,4.2,24,False,False,4
INC-00016,2025-03-09 22:48:00,2025-03-10 12:18:06.119158,P3-Medium,Email/Comm,AGT-00012,13.5,24,False,False,5
INC-00017,2025-06-05 09:23:00,2025-06-06 15:07:36.159336,P4-Low,Hardware,AGT-00007,29.74,72,False,False,4
INC-00018,2025-03-24 12:07:00,2025-03-26 20:24:05.807947,P4-Low,Software,AGT-00001,56.28,72,False,False,5
INC-00019,2025-05-26 21:05:00,2025-05-28 04:55:22.266562,P4-Low,Hardware,AGT-00001,31.84,72,False,False,5
INC-00020,2025-06-18 12:35:00,2025-06-19 10:20:14.133504,P4-Low,Software,AGT-00002,21.75,72,False,False,4
INC-00021,2025-06-26 09:19:00,2025-06-27 15:02:30.684545,P3-Medium,Email/Comm,AGT-00014,29.73,24,True,False,3
INC-00022,2025-03-05 09:21:00,2025-03-06 01:32:37.642546,P3-Medium,Access Management,AGT-00005,16.19,24,False,True,4
INC-00023,2025-01-16 09:57:00,2025-01-17 04:29:24.812295,P3-Medium,Network,AGT-00008,18.54,24,False,True,3
INC-00024,2025-05-19 08:59:00,2025-05-19 15:35:07.252237,P3-Medium,Hardware,AGT-00005,6.6,24,False,False,4
INC-00025,2025-01-25 07:27:00,2025-01-25 12:02:40.777671,P2-High,Software,AGT-00004,4.59,8,False,False,4
INC-00026,2025-06-15 07:25:00,2025-06-17 11:38:06.426459,P4-Low,Network,AGT-00007,52.22,72,False,False,5
INC-00027,2025-02-05 11:17:00,2025-02-05 13:45:17.480924,P2-High,Network,AGT-00006,2.47,8,False,False,5
INC-00028,2025-01-26 06:34:00,2025-01-26 14:22:53.795031,P2-High,Access Management,AGT-00012,7.81,8,False,False,5
INC-00029,2025-05-05 12:55:00,2025-05-07 02:54:14.014326,P4-Low,Access Management,AGT-00002,37.99,72,False,False,2
INC-00030,2025-04-27 10:44:00,2025-04-28 02:23:59.220006,P3-Medium,Email/Comm,AGT-00003,15.67,24,False,False,5
INC-00031,2025-03-17 09:03:00,2025-03-17 22:14:10.849568,P3-Medium,Access Management,AGT-00002,13.19,24,False,False,4
INC-00032,2025-05-09 20:33:00,2025-05-11 05:22:05.611714,P3-Medium,Network,AGT-00007,32.82,24,True,False,5
INC-00033,2025-06-22 18:25:00,2025-06-23 00:52:09.934968,P2-High,Network,AGT-00007,6.45,8,False,False,5
INC-00034,2025-04-18 14:36:00,2025-04-18 17:23:52.842295,P2-High,Software,AGT-00007,2.8,8,False,False,5
INC-00035,2025-04-12 08:41:00,2025-04-12 18:03:44.065893,P2-High,Access Management,AGT-00003,9.38,8,True,False,2
INC-00036,2025-05-25 23:04:00,2025-05-27 00:38:59.257202,P4-Low,Network,AGT-00005,25.58,72,False,False,4
INC-00037,2025-03-04 11:10:00,2025-03-04 18:23:51.681297,P2-High,Hardware,AGT-00001,7.23,8,False,False,4
INC-00038,2025-05-16 00:52:00,2025-05-16 03:11:21.500432,P3-Medium,Email/Comm,AGT-00010,2.32,24,False,False,5
INC-00039,2025-01-28 16:09:00,2025-01-28 18:00:04.855784,P2-High,Access Management,AGT-00003,1.85,8,False,False,4
INC-00040,2025-03-09 12:16:00,2025-03-10 07:50:29.603593,P3-Medium,Hardware,AGT-00007,19.57,24,False,False,5
INC-00041,2025-01-01 10:08:00,2025-01-01 19:13:04.678908,P2-High,Software,AGT-00003,9.08,8,True,False,2
INC-00042,2025-01-03 07:56:00,2025-01-04 03:18:15.406498,P3-Medium,Software,AGT-00005,19.37,24,False,False,2
INC-00043,2025-04-21 08:19:00,2025-04-21 11:05:07.332367,P1-Critical,Software,AGT-00006,2.77,4,False,False,5
INC-00044,2025-06-24 09:06:00,2025-06-26 05:04:40.533918,P4-Low,Network,AGT-00004,43.98,72,False,False,4
INC-00045,2025-03-02 18:51:00,2025-03-03 15:16:46.416694,P4-Low,Email/Comm,AGT-00009,20.43,72,False,False,5
INC-00046,2025-04-16 17:55:00,2025-04-16 19:28:37.121700,P1-Critical,Access Management,AGT-00003,1.56,4,False,False,3
INC-00047,2025-01-10 18:14:00,2025-01-10 23:07:15.951486,P2-High,Access Management,AGT-00004,4.89,8,False,False,5
INC-00048,2025-02-27 02:12:00,2025-02-28 04:39:25.120115,P3-Medium,Access Management,AGT-00012,26.46,24,True,False,2
INC-00049,2025-05-11 11:53:00,2025-05-11 19:35:09.590449,P2-High,Access Management,AGT-00004,7.7,8,False,False,5
INC-00050,2025-03-09 04:38:00,2025-03-09 05:08:00.000000,P2-High,Email/Comm,AGT-00002,0.5,8,False,False,5
INC-00051,2025-04-09 19:12:00,2025-04-10 15:47:33.618319,P3-Medium,Software,AGT-00006,20.59,24,False,False,5
INC-00052,2025-06-21 09:27:00,2025-06-21 11:40:47.407581,P1-Critical,Email/Comm,AGT-00006,2.23,4,False,False,4
INC-00053,2025-03-18 12:42:00,2025-03-19 01:17:04.646391,P3-Medium,Hardware,AGT-00012,12.58,24,False,False,4
INC-00054,2025-04-08 15:57:00,2025-04-09 14:50:36.277119,P3-Medium,Network,AGT-00004,22.89,24,False,False,4
INC-00055,2025-02-23 11:37:00,2025-02-24 13:51:52.786248,P3-Medium,Access Management,AGT-00003,26.25,24,True,False,2
INC-00056,2025-02-13 14:18:00,2025-02-14 15:45:00.867431,P3-Medium,Software,AGT-00006,25.45,24,True,False,3
INC-00057,2025-06-22 10:51:00,2025-06-22 22:08:10.535331,P3-Medium,Access Management,AGT-00009,11.29,24,False,False,1
INC-00058,2025-01-19 12:56:00,2025-01-19 18:21:03.924064,P2-High,Software,AGT-00012,5.42,8,False,False,3
INC-00059,2025-06-17 15:57:00,2025-06-18 12:36:00.386824,P3-Medium,Software,AGT-00003,20.65,24,False,False,5
INC-00060,2025-06-28 13:03:00,2025-06-28 22:57:51.868602,P2-High,Software,AGT-00002,9.91,8,True,False,4
INC-00061,2025-05-16 23:38:00,2025-05-17 04:27:22.404603,P2-High,Network,AGT-00005,4.82,8,False,False,5
INC-00062,2025-04-20 17:35:00,2025-04-21 10:05:53.021472,P3-Medium,Access Management,AGT-00013,16.51,24,False,False,3
INC-00063,2025-06-13 10:49:00,2025-06-14 14:41:23.881872,P4-Low,Software,AGT-00009,27.87,72,False,False,4
INC-00064,2025-03-11 10:57:00,2025-03-11 19:22:49.249226,P3-Medium,Network,AGT-00003,8.43,24,False,False,2
INC-00065,2025-01-17 11:21:00,2025-01-17 20:41:37.825362,P2-High,Software,AGT-00008,9.34,8,True,False,2
INC-00066,2025-05-30 21:01:00,2025-05-31 08:15:48.624360,P2-High,Software,AGT-00013,11.25,8,True,False,3
INC-00067,2025-04-10 18:53:00,2025-04-11 12:18:26.108498,P3-Medium,Network,AGT-00004,17.42,24,False,False,5
INC-00068,2025-02-26 10:31:00,2025-02-27 12:32:41.747459,P3-Medium,Software,AGT-00002,26.03,24,True,True,2
INC-00069,2025-04-30 20:39:00,2025-05-01 17:32:35.117521,P3-Medium,Software,AGT-00002,20.89,24,False,False,5
INC-00070,2025-04-20 08:29:00,2025-04-20 21:19:20.551067,P3-Medium,Software,AGT-00001,12.84,24,False,False,3
INC-00071,2025-04-08 10:53:00,2025-04-09 07:46:28.193439,P3-Medium,Software,AGT-00003,20.89,24,False,False,5
